name,link,category
"Fentanilo en tanques de combustible, nuevo método del 'narco'",/internacional/fentanilo-en-tanques-de-combustible-nuevo-metodo-del-narcotrafico,internacional
Peso se aprecia a niveles no vistos desde 2017,/negocios/precio-dolar-cierre-3-mayo-2023-tipo-cambio,negocios
OpenAI ofrece cursos gratis de ChatGPT,/tecnologia/openai-ofrece-cursos-para-ser-experto-en-chatgpt,tecnologia
Fans PSG estallan critican a Messi y piden su salida,/deportes/futbol-internacional/aficion-del-psg-estallan-ante-lionel-messi-y-piden-salida-del-club,deportes
Turistas hostigan a tortuga en Isla de Holbox y evitan que anide en la costa,/estados/turistas-hostigan-a-tortuga-en-isla-de-holbox-evitan-que-anide,estados
Mujer murió al caer por hueco de elevador en Indonesia | VIDEO,/internacional/mujer-muere-caer-hueco-ascensor-aeropuerto-indonesia,internacional
Estafan a jóvenes con supuesto reclutamiento del Ejército,/estados/estafan-a-jovenes-con-supuesto-reclutamiento-del-ejercito-en-tabasco,estados
TEPJF ordena al INE registrar y validar cambios estatutarios del PRI,/politica/tepjf-ordena-ine-registrar-validar-cambios-estatutarios-pri,politica
¿Vas a cambiar tu tarjeta? Estos son los módulos de Pensión Bienestar de mayo 2023 para rezagados,/politica/comunidad/pension-bienestar-2023-conoce-modulos-recoger-tarjeta-mayo,politica
"A Ebrard le asiste la razón en peticiones a Morena, dice Monreal, pero llama a la calma",/politica/ebrard-asiste-razon-peticiones-morena-monreal,politica
AMLO pide a la Corte resolver impugnaciones de 2018 antes que el 'Plan B',/politica/amlo-pide-scjn-resolver-impugnaciones-2018-plan-b,politica
Rubén Rocha anuncia esquema de comercialización para el maíz,/politica/gobierno/ruben-rocha-anuncia-esquema-comercializacion-maiz,politica
Guardan un minuto de silencio a dos años de la tragedia de la Línea 12 del Metro,/politica/guardan-minuto-silencio-tragedia-linea-12-metro,politica
"""No se calienten con el 2024, mejor vayan a ayudar a Coahuila"", pide Delgado a 'corcholatas'",/politica/dejen-pensar-2024-vengan-ayudar-pide-delgado-corcholatas,politica
De los gritos a los fusiles Barrett,/opinion/epigmenio-ibarra/itinerarios/de-los-gritos-a-los-fusiles-barrett,opinion
Epigmenio Ibarra,/opinion/epigmenio-ibarra,opinion
AMLO les marca tiempos y método,/opinion/joaquin-lopez-doriga/en-privado/amlo-les-marca-tiempos-y-metodo,opinion
Joaquín López-Dóriga,/opinion/joaquin-lopezdoriga,opinion
Trascendió,/opinion/editoriales/trascendio-nacional/trascendio_1726,opinion
Editoriales ,/opinion/editoriales,opinion
Ciencia e inconsciencia,/opinion/gil-games/uno-hasta-el-fondo/ciencia-e-inconsciencia,opinion
Gil Gamés,/opinion/gil-games,opinion
La Gordillo y el Alzheimer selectivo,/opinion/jairo-calixto-albarran/politica-cero/la-gordillo-y-el-alzheimer-selectivo,opinion
Jairo Calixto Albarrán,/opinion/jairo-calixto-albarran,opinion
Millonarias licitaciones en el IMSS,/opinion/jesus-rangel/estira-afloja/millonarias-licitaciones-en-el-imss,opinion
J. Jesús Rangel M.,/opinion/j-jesus-rangel-m,opinion
Principios de imparcialidad,/opinion/moneros/rape/principios-de-imparcialidad,opinion
360° y 40 años de zapatismo,/opinion/diego-enrique-osorno/detective/360-y-40-anos-de-zapatismo,opinion
Diego Enrique Osorno,/opinion/diego-enrique-osorno,opinion
Sandra Cuevas: gobernar sin empatía,/opinion/daniela-pacheco/columna-daniela-pacheco/sandra-cuevas-gobernar-sin-empatia,opinion
Daniela Pacheco,/opinion/daniela-pacheco,opinion
Quinteto Astor Piazzolla,/opinion/xavier-quirarte/columna-xavier-quirarte/quinteto-astor-piazzolla,opinion
Xavier Quirarte,/opinion/xavier-quirarte,opinion
Irreales y reales,/opinion/jose-ramon-fernandez-gutierrez-de-quevedo/cartas-oceanicas/irreales-y-reales,opinion
José Ramón Fernández Gutiérrez de Quevedo,/opinion/jose-ramon-fernandez-gutierrez-de-quevedo,opinion
'Montecristo' y 'Media 20.1',/opinion/alvaro-cueva/el-pozo-de-los-deseos-reprimidos/montecristo-y-media-20-1,opinion
Álvaro Cueva,/opinion/alvaro-cueva,opinion
Escritores paran Hollywood,/opinion/susana-moscatel/estado-fallido/escritores-paran-hollywood,opinion
Susana Moscatel,/opinion/susana-moscatel,opinion
Dueño busca cómo hacerse ‘pato’ con multa; Tigres: horario y Final de hoy,/opinion/miguel-angel-arizpe/desde-el-angel/dueno-busca-como-hacerse-pato-con-multa,opinion
Miguel Ángel Arizpe,/opinion/miguel-angel-arizpe,opinion
¿Prepara la WTA un auto sabotaje para el 2024?,/opinion/alfredo-ramirez/tenis-fondo/prepara-la-wta-un-auto-sabotaje-para-el-2024,opinion
Alfredo Ramírez,/opinion/alfredo-ramirez,opinion
Categoría 1 traerá baja en tarifas aéreas: SICT,/negocios/sict-categoria-1-traera-baja-tarifas-aereas,negocios
Precio del dólar hoy 3 de mayo de 2023,/negocios/precio-del-dolar-3-mayo-2023-cual-es-tipo-cambio-mexico,negocios
Canadá y EU unen fuerzas contra políticas de México,/negocios/canada-eu-unen-fuerzas-presionar-mexico,negocios
Bancos regionales se hunden pese a venta de First Republic,/negocios/financial-times/bancos-regionales-hunden-pese-venta-first-republic,negocios
Prensa mentirosa  amenaza pilares de la democracia,/negocios/financial-times/prensa-mentirosa-amenaza-pilares-de-la-democracia,negocios
EU necesita una nueva estrategia para llegar al sur,/negocios/financial-times/eu-necesita-una-nueva-estrategia-para-llegar-al-sur,negocios
Productor revela por qué despidieron al Burro Van Rankin,/espectaculos/famosos/productor-miembros-al-aire-habla-sobre-despido-de-burro-van-rankin,espectaculos
Aleks Syntek confiesa su admiración por Peso Pluma,/espectaculos/famosos/aleks-syntek-admira-peso-pluma-revelo,espectaculos
"""No lleva mi sangre"": Adame explota contra su hijo",/espectaculos/famosos/alfred-adame-despotrica-contra-sebastian-adame-se-deslinda-de-el,espectaculos
Yeri Mua lanza indirectas contra ex tras terminar relación,/virales/yeri-mua-naim-darrechi-terminan-relacion,virales
Anuel AA muestra que no borró el tatuaje de Karol G,/espectaculos/famosos/anuel-aa-muestra-no-se-borro-tatuaje-de-karol-g-video,espectaculos
"Hija de Héctor Parra, denuncia a repartidor por robar despensa",/espectaculos/famosos/hector-parra-daniela-parra-denuncia-repartidor-rappi-robo-despensa,espectaculos
'Canelo' rechazó 1 mdd por pelear con Mayweather,/deportes/boxeo/canelo-alvarez-rechazo-un-millon-de-dolares-por-pelear-con-mayweather,deportes
La historia de desamor de Messi con el club,/deportes/futbol-internacional/lionel-messi-iria-psg-verano-posibles-destinos,deportes
"Repechaje de la Liga MX, un premio a la mediocridad",/deportes/liga-mx/repechaje-de-la-liga-mx-un-premio-a-la-mediocridad,deportes
Joselito Adame se encuentra estable tras recibir cornada,/deportes/mas-aficion/joselito-adame-estable-recibir-cornada-reportan,deportes
'Medio Metro' fue golpeado por fan de Sonido Pirata,/virales/metro-golpeado-fan-sonido-pirata-video,virales
Guitarra destrozada por Kurt Cobain será subastada en EU,/espectaculos/musica/guitarra-destrozada-kurt-cobain-subastada-unidos,espectaculos
El rey Carlos mantiene tradición medieval en su coronación,/estilo/rey-carlos-mantiene-tradicion-medieval-coronacion,estilo
Escorpión Dorado presume mercancía pirata de su contenido,/espectaculos/famosos/escorpion-dorado-presume-mercancia-pirata,espectaculos
Abuelo le da sartenazos a un cocodrilo para ahuyentarlo,/virales/abuelo-pelea-cocodrilo-jardin-ahuyentarlo-video,virales
Hombre comparte su alegría tras comprarse un ‘vocho’,/virales/tiktok-hombre-comparte-alegria-comprarse-vocho,virales
Maestra cristiana dejó la docencia para convertirse en estrella de OnlyFans,/virales/onlyfans-profesora-cristiana-docencia-crear-contenido,virales
AMLO envió carta a Biden pide su intervención ante aumento de recursos a ONGs 'golpistas',/videos/politica/amlo-envio-carta-biden-pide-intervencion-aumento-recursos-ongs-golpistas,videos
"Sedena presenta a 'Arkadas', cachorro donado por el gobierno de Turquía",/videos/policia/sedena-presenta-arkadas-cachorro-donado-gobierno-turquia,videos
Dan 50 años de prisión a dos hombres por secuestrar a un adulto mayor en Zacatecas,/videos/policia/50-anos-prision-hombres-secuestrar-adulto-zacatecas,videos
Con un robot y una PlayStation 5 son concebidas bebés,/videos/internacional/con-un-robot-y-una-playstation-5-son-concebidas-bebes,videos
Majo González y David Faitelson se fueron sobre 'Canelo' Álvarez,/videos/deportes/extra-cancha/majo-gonzalez-david-faitelson-canelo-alvarez,videos
¿Por qué iban vestidos de gato? Estos artistas homenajearon en el Met Gala a ‘Choupette’,/videos/estilo/iban-vestidos-gato-artistas-homenajearon-met-gala-choupette,videos
